Timestamp,Substation Name,Substation Number,Transformer,Reading Type,MVA,MVAr,MW,kV
2022-03-31 09:00:00,Gowerton East 33kV,0,GT1,Import,4.1549608903,1.81,3.74,0.0
2022-03-31 09:00:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,33.98
2022-03-31 09:30:00,Gowerton East 33kV,0,GT1,Demand,4.0726526982,1.6800000000000002,3.71,0.0
2022-03-31 09:30:00,Gowerton East 33kV,0,GT1,Import,4.0726526982,1.6800000000000002,3.71,0.0
2022-03-31 09:30:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,33.78
2022-03-31 10:00:00,Gowerton East 33kV,0,GT1,Demand,4.0403093941,1.6,3.71,0.0
2022-03-31 10:00:00,Gowerton East 33kV,0,GT1,Import,4.0403093941,1.6,3.71,0.0
2022-03-31 10:00:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,33.9
2022-03-31 10:30:00,Gowerton East 33kV,0,GT1,Demand,4.1501445758,1.8599999999999999,3.71,0.0
2022-03-31 10:30:00,Gowerton East 33kV,0,GT1,Import,4.1501445758,1.8599999999999999,3.71,0.0
2022-03-31 10:30:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,33.86
2022-03-31 11:00:00,Gowerton East 33kV,0,GT1,Demand,4.1905846847,1.9100000000000001,3.73,0.0
2022-03-31 11:00:00,Gowerton East 33kV,0,GT1,Import,4.1905846847,1.9100000000000001,3.73,0.0
2022-03-31 11:00:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,33.83
2022-03-31 11:30:00,Gowerton East 33kV,0,GT1,Demand,4.4052809218,2.01,3.92,0.0
2022-03-31 11:30:00,Gowerton East 33kV,0,GT1,Import,4.4052809218,2.01,3.92,0.0
2022-03-31 11:30:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,33.95
2022-03-31 12:00:00,Gowerton East 33kV,0,GT1,Demand,4.5705251339,2.04,4.09,0.0
2022-03-31 12:00:00,Gowerton East 33kV,0,GT1,Import,4.5705251339,2.04,4.09,0.0
2022-03-31 12:00:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,33.99
2022-03-31 12:30:00,Gowerton East 33kV,0,GT1,Demand,4.5308387744,2.09,4.02,0.0
2022-03-31 12:30:00,Gowerton East 33kV,0,GT1,Import,4.5308387744,2.09,4.02,0.0
2022-03-31 12:30:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,34.01
2022-03-31 13:00:00,Gowerton East 33kV,0,GT1,Demand,4.8178937307,2.05,4.36,0.0
2022-03-31 13:00:00,Gowerton East 33kV,0,GT1,Import,4.8178937307,2.05,4.36,0.0
2022-03-31 13:00:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,34.0
2022-03-31 13:30:00,Gowerton East 33kV,0,GT1,Demand,4.369553753,1.9100000000000001,3.93,0.0
2022-03-31 13:30:00,Gowerton East 33kV,0,GT1,Import,4.369553753,1.9100000000000001,3.93,0.0
2022-03-31 13:30:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,33.63
2022-03-31 14:00:00,Gowerton East 33kV,0,GT1,Demand,4.2779083674,1.78,3.89,0.0
2022-03-31 14:00:00,Gowerton East 33kV,0,GT1,Import,4.2779083674,1.78,3.89,0.0
2022-03-31 14:00:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,33.64
2022-03-31 14:30:00,Gowerton East 33kV,0,GT1,Demand,4.3975561395,1.76,4.03,0.0
2022-03-31 14:30:00,Gowerton East 33kV,0,GT1,Import,4.3975561395,1.76,4.03,0.0
2022-03-31 14:30:00,Gowerton East 33kV,0,GT1,Volts,0.0,0.0,0.0,33.74
2022-03-31 15:00:00,Gowerton East 33kV,0,GT1,Demand,4.5436769251,1.85,4.15,0.0
2022-03-31 15:00:00,Gowerton East 33kV,0,GT1,Import,4.5436769251,1.85,4.15,0.0
