Timestamp,Substation Name,Substation Number,Transformer,Reading Type,MVA,MVAr,MW,kV
2022-03-31 09:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.39
2022-03-31 09:30:00,Cardiff North 33kV,0,GT2,Demand,23.9625749868,3.47,23.71,0.0
2022-03-31 09:30:00,Cardiff North 33kV,0,GT2,Import,23.9625749868,3.47,23.71,0.0
2022-03-31 09:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.34
2022-03-31 10:00:00,Cardiff North 33kV,0,GT2,Demand,23.7121340246,3.38,23.47,0.0
2022-03-31 10:00:00,Cardiff North 33kV,0,GT2,Import,23.7121340246,3.38,23.47,0.0
2022-03-31 10:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.35
2022-03-31 10:30:00,Cardiff North 33kV,0,GT2,Demand,23.6980864206,3.2800000000000002,23.47,0.0
2022-03-31 10:30:00,Cardiff North 33kV,0,GT2,Import,23.6980864206,3.2800000000000002,23.47,0.0
2022-03-31 10:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.33
2022-03-31 11:00:00,Cardiff North 33kV,0,GT2,Demand,23.3868018335,2.95,23.2,0.0
2022-03-31 11:00:00,Cardiff North 33kV,0,GT2,Import,23.3868018335,2.95,23.2,0.0
2022-03-31 11:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.34
2022-03-31 11:30:00,Cardiff North 33kV,0,GT2,Demand,23.0778031883,3.09,22.87,0.0
2022-03-31 11:30:00,Cardiff North 33kV,0,GT2,Import,23.0778031883,3.09,22.87,0.0
2022-03-31 11:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.39
2022-03-31 12:00:00,Cardiff North 33kV,0,GT2,Demand,23.1690763735,3.25,22.94,0.0
2022-03-31 12:00:00,Cardiff North 33kV,0,GT2,Import,23.1690763735,3.25,22.94,0.0
2022-03-31 12:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.46
2022-03-31 12:30:00,Cardiff North 33kV,0,GT2,Demand,22.9219218217,2.96,22.73,0.0
2022-03-31 12:30:00,Cardiff North 33kV,0,GT2,Import,22.9219218217,2.96,22.73,0.0
2022-03-31 12:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.46
2022-03-31 13:00:00,Cardiff North 33kV,0,GT2,Demand,22.8949361213,3.34,22.65,0.0
2022-03-31 13:00:00,Cardiff North 33kV,0,GT2,Import,22.8949361213,3.34,22.65,0.0
2022-03-31 13:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.44
2022-03-31 13:30:00,Cardiff North 33kV,0,GT2,Demand,23.257912632,3.52,22.99,0.0
2022-03-31 13:30:00,Cardiff North 33kV,0,GT2,Import,23.257912632,3.52,22.99,0.0
2022-03-31 13:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.58
2022-03-31 14:00:00,Cardiff North 33kV,0,GT2,Demand,22.5709835851,2.93,22.38,0.0
2022-03-31 14:00:00,Cardiff North 33kV,0,GT2,Import,22.5709835851,2.93,22.38,0.0
2022-03-31 14:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.64
2022-03-31 14:30:00,Cardiff North 33kV,0,GT2,Demand,22.2222096111,1.79,22.15,0.0
2022-03-31 14:30:00,Cardiff North 33kV,0,GT2,Import,22.2222096111,1.79,22.15,0.0
2022-03-31 14:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.4
2022-03-31 15:00:00,Cardiff North 33kV,0,GT2,Demand,21.6578854,2.44,21.52,0.0
2022-03-31 15:00:00,Cardiff North 33kV,0,GT2,Import,21.6578854,2.44,21.52,0.0
2022-03-31 15:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.31
2022-03-31 15:30:00,Cardiff North 33kV,0,GT2,Demand,21.823686673,2.02,21.73,0.0
2022-03-31 15:30:00,Cardiff North 33kV,0,GT2,Import,21.823686673,2.02,21.73,0.0
2022-03-31 15:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.06
2022-03-31 16:00:00,Cardiff North 33kV,0,GT2,Demand,22.0327052356,1.0,22.01,0.0
2022-03-31 16:00:00,Cardiff North 33kV,0,GT2,Import,22.0327052356,1.0,22.01,0.0
2022-03-31 16:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.11
2022-03-31 16:30:00,Cardiff North 33kV,0,GT2,Demand,22.8277243719,2.11,22.73,0.0
2022-03-31 16:30:00,Cardiff North 33kV,0,GT2,Import,22.8277243719,2.11,22.73,0.0
2022-03-31 16:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.3
2022-03-31 17:00:00,Cardiff North 33kV,0,GT2,Demand,23.3840223229,2.5,23.25,0.0
2022-03-31 17:00:00,Cardiff North 33kV,0,GT2,Import,23.3840223229,2.5,23.25,0.0
2022-03-31 17:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.39
2022-03-31 17:30:00,Cardiff North 33kV,0,GT2,Demand,24.7329739417,2.92,24.56,0.0
2022-03-31 17:30:00,Cardiff North 33kV,0,GT2,Import,24.7329739417,2.92,24.56,0.0
2022-03-31 17:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.3
2022-03-31 18:00:00,Cardiff North 33kV,0,GT2,Demand,24.9547690833,2.59,24.82,0.0
2022-03-31 18:00:00,Cardiff North 33kV,0,GT2,Import,24.9547690833,2.59,24.82,0.0
2022-03-31 18:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.25
2022-03-31 18:30:00,Cardiff North 33kV,0,GT2,Demand,25.2910498003,2.76,25.14,0.0
2022-03-31 18:30:00,Cardiff North 33kV,0,GT2,Import,25.2910498003,2.76,25.14,0.0
2022-03-31 18:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.18
2022-03-31 19:00:00,Cardiff North 33kV,0,GT2,Demand,25.6671034595,3.01,25.49,0.0
2022-03-31 19:00:00,Cardiff North 33kV,0,GT2,Import,25.6671034595,3.01,25.49,0.0
2022-03-31 19:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.12
2022-03-31 19:30:00,Cardiff North 33kV,0,GT2,Demand,26.9183599055,5.55,26.34,0.0
2022-03-31 19:30:00,Cardiff North 33kV,0,GT2,Import,26.9183599055,5.55,26.34,0.0
2022-03-31 19:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.08
2022-03-31 20:00:00,Cardiff North 33kV,0,GT2,Demand,28.5507302884,7.71,27.49,0.0
2022-03-31 20:00:00,Cardiff North 33kV,0,GT2,Import,28.5507302884,7.71,27.49,0.0
2022-03-31 20:00:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.09
2022-03-31 20:30:00,Cardiff North 33kV,0,GT2,Demand,29.8629486153,7.86,28.81,0.0
2022-03-31 20:30:00,Cardiff North 33kV,0,GT2,Import,29.8629486153,7.86,28.81,0.0
2022-03-31 20:30:00,Cardiff North 33kV,0,GT2,Volts,0.0,0.0,0.0,33.16
2022-03-31 21:00:00,Cardiff North 33kV,0,GT2,Demand,29.0674594693,7.66,28.04,0.0
2022-03-31 21:00:00,Cardiff North 33kV,0,GT2,Import,29.0674594693,7.66,28.04,0.0
