Licence Area,GSP,TANM,DANM,Status,Bus Number,Bus Name,Site ID,Application ID,Site Export Capacity (MW),Site Import Capacity (MW),Machine Export Capacity (MW),Machine Import Capacity (MW),Fuel type,Machine ID,Position
South Wales,Aberthaw Power Station,False,False,Accepted not yet Connected,502401,EAST3_MAIN2,241,1,20.0,0.05,20.0,,Solar,PA,99
South Wales,Cardiff East Grid,False,False,Accepted not yet Connected,501601,BARR1_MAIN2,176,1,49.9,0.526,49.9,,Solar,PA,129
South Wales,Aberthaw Power Station,False,False,Accepted not yet Connected,503200,HIGH3_MAIN1,146,1,15.0,0.1,15.3,,Solar,PA,135
South Wales,Aberthaw Power Station,False,False,Accepted not yet Connected,500800,CARW1_MAIN1,476,1,42.0,0.5,42.0,,Solar,PA,139
South Wales,Aberthaw Power Station,False,False,Accepted not yet Connected,5894,82BB22S,478,1,49.9,0.1,53.8,,Solar,PA,301
South Wales,Cardiff East Grid,True,True,Accepted not yet Connected,505018,CARE1_MAIN2,324,1,49.9,49.9,50.0,,BESS,BA,353
South Wales,Cardiff East Grid,False,False,Accepted not yet Connected,2674,ROVE5G,613,1,10.0,10.0,10.0,,BESS,BA,1707
South Wales,Cardiff East Grid,True,True,Accepted not yet Connected,505018,CARE1_MAIN2,535,1,44.0,44.0,45.0,,BESS,BA,1708
South Wales,Aberthaw Power Station,False,True,Accepted not yet Connected,2306,BGLS5G,154,1,49.9,49.9,49.9,,BESS,BA,1709
