mrid,name,from_node,to_node,from_name,to_name,r_ohm,x_ohm,bch_s,length_km,kv,container
4600b481-a4ca-4ff4-aa9e-2f6d028e64b2,33kV Line SWAN3_11L5-BRNW3_#1L5[sec]0,4be52649-ca59-46ac-b9e0-aada70a54e31,fdd6d2b7-ccef-4f26-b4a8-7b970f99e6c4,SWAN3_11L5,BRNW3_#1L5,0.02688,0.02541,1.70871e-05,0.21,33.0,e0a50b0f-421b-4849-a091-f80082e26e32
22228173-5157-45c4-93d6-e162b6ebaaab,33kV Line SWAN3_12L5-FELI3_#2L5[sec]0,3ba8c75d-c8aa-408e-8a03-340b55c0fc74,6d90b395-4d95-4d10-ba50-f47543d8def2,SWAN3_12L5,FELI3_#2L5,0.150248,0.177827,0.000134934,1.533,33.0,daeaa160-7237-497a-b49d-4b3cb5fd1212
1ec22dbb-1172-4780-b2f9-666288fc5fb4,33kV Line SWAN3_14L5-SWNL32[sec]0,f5720979-04d5-4407-9f60-2a5400d9f216,57d4c0e8-e8d3-4ed7-9e86-3a50e92f741a,SWAN3_14L5,SWNL32,0.0248292,0.0265063,1.83655e-05,0.226,33.0,5e3ce3eb-e031-4c7c-90ca-d67bc567b82d
c5443337-5882-469f-ad4e-27444b278efa,33kV Line SWAN3_16L5-ALLA3_#1L5[sec]0,60b040f8-43a0-4002-9d2f-b69eff936ca9,dc1bbf93-01d8-4746-88f8-96f0eee15d43,SWAN3_16L5,ALLA3_#1L5,0.261944,0.302884,0.000208008,2.537,33.0,dfd3da39-eae1-4dd2-848f-fc408d38cad7
ab71690e-9b63-4214-b329-d76aaec85728,33kV Line SWAN3_1L5-GARN3_2L5[sec]0,75c056fa-5eb2-4ef6-848e-892b35b743f6,9dada2f2-b67b-42cc-8b27-cab6b47eeeff,SWAN3_1L5,GARN3_2L5,1.00105,1.89855,0.000252343,6.306,33.0,77b0563c-fafd-4d77-b787-f44b5c20319e
23e55626-056c-4753-97cf-fa9cdd7a992c,33kV Line SWAN3_2L5-52L6053P10[sec]0,0c9765ec-b4cb-4209-a863-0a336bd86748,53fa2dc5-cc89-4969-a852-80ec3e69cbfb,SWAN3_2L5,52L6053P10,0.296448,0.561532,3.99449e-05,1.74,33.0,889574b4-41af-4e03-a4ee-0de0048b20b2
f678bdb2-95e6-47f6-982b-f99fa8c15c59,33kV Line SWAN3_3L5-TYNY3T[sec]0,a52c56f0-0cf1-4441-b950-80962a271f5e,2aa84145-0e9b-413a-8d88-8122125e7d89,SWAN3_3L5,TYNY3T,0.816097,1.17998,0.000146281,4.145,33.0,01e3aea2-d960-4d17-8a27-43c1da089e19
905945ab-0d07-4bb9-b644-fecfcc3bf979,33kV Line SWAN3_4L5-FELI3_#1L5[sec]0,df260de0-d72d-43ed-ae73-90b5c05a6b09,5994abde-5a8d-49ae-8bee-e5b5a8a82b53,SWAN3_4L5,FELI3_#1L5,0.145837,0.172606,0.000130973,1.488,33.0,eb839020-3299-463b-849e-89228cdf48ab
e9e3cea6-a209-4bbf-88b4-db18a4561f42,33kV Line SWAN3_5L5-FELI3_#3L5[sec]0,2620b065-eb13-42ad-9062-f8665857a49a,95f80aba-01fd-454a-bbb6-371348fae1ef,SWAN3_5L5,FELI3_#3L5,0.140839,0.166691,0.000126484,1.437,33.0,8b80a85e-9b1b-4f6a-a2c3-60471b858006
b4e7f20e-5e6f-46c2-a19a-66e29a5bac94,33kV Line SWAN3_6L5-WAUN3_1L5[sec]0,4f5d03fe-b03b-48b0-be5e-b31f2ee99853,181fdd1a-5ddf-4fbd-923f-ce11e5c94070,SWAN3_6L5,WAUN3_1L5,1.02039,2.00999,0.000230791,6.39,33.0,7a99e5ef-1a6b-400e-8cd3-fd6a0bf15eeb
7357daf1-ffe2-4036-9acc-3f8c6aa55c69,33kV Line SWAN3_7L5-SWNL31[sec]0,3afe108a-fb73-4f36-9ebd-1ba40a296fad,3880645b-bc80-42ab-97de-6f83c44facc1,SWAN3_7L5,SWNL31,0.0350985,0.037418,2.59871e-05,0.319,33.0,e8fd6bc8-3ccb-42ac-9565-25bb24cd36b3
bca16a1a-b362-48fd-bde5-7f8527d72bdb,33kV Line SWAN3_8L5-GLWI3T[sec]0,11b65acb-a1e9-40d6-a6f5-f98cdb2fd6e5,3d45ee9b-9b3c-412b-b392-8e0d6dd4e45d,SWAN3_8L5,GLWI3T,0.531895,1.08331,3.02167e-05,2.958,33.0,0a19b554-1773-4a2b-9522-2dbc6348ee0b
0888cb71-c430-4061-958c-364615392828,33kV Line SWAN3_9L5-ABGL3_#1L5[sec]0,74872741-8bfa-4d8b-9aba-3937bfe26ace,6a5b71b6-50b7-498a-9b43-09f5693828bc,SWAN3_9L5,ABGL3_#1L5,0.329804,0.35607,0.00024775,3.045,33.0,5842a260-e8de-485e-b02c-2aeb8ff9cb9c
f2322828-4432-4a3c-927d-159f4a0c3b84,33kV Line SWAT3T-SWAT32[sec]0,abe5e2f3-8ddb-4f36-9c7a-edecb6562c3e,6aab4f47-a013-46e1-bead-76c1f745141b,SWAT3T,SWAT32,0.0058045,0.00676901,6.84978e-06,0.065,33.0,96012233-d531-45d7-abca-688be43bcb1c
f70986b8-454d-4d3b-bac7-261879d46f80,33kV Line SWAT3T-TWAU3[sec]0,abe5e2f3-8ddb-4f36-9c7a-edecb6562c3e,b82d9dcf-bcd0-4734-9f36-01bdbac36240,SWAT3T,TWAU3,0.200379,0.226366,0.000241353,2.243,33.0,469f6485-b8be-4017-b4f9-a0820e1436dd
32d19f8e-b834-407f-ad48-ee342e138467,33kV Line SWAW3_#10L5-52L6001P11[sec]0,5a853c79-0422-44fd-a72c-82c15d07583d,fb6117a7-8160-44ba-9c3f-0a85470393ed,SWAW3_#10L5,52L6001P11,0.349472,0.537427,0.000285115,2.568,33.0,00a53aa1-927e-44ae-bb86-93e05686ee89
