substation,zone,technology,capacity_mw,curtailment_pct,curtailed_mwh,total_mwh,delivered_mwh,curtailed_hours,binding_branch,n_sensitive_branches
PCYL,swansea-north,BESS,5,0.0,0,20203,20203,0,None,27
PCYL,swansea-north,BESS,10,0.0,0,40406,40406,0,None,27
PCYL,swansea-north,BESS,20,0.0,0,80812,80812,0,None,27
PCYL,swansea-north,BESS,30,0.0,0,121219,121219,0,None,27
PCYL,swansea-north,BESS,50,0.0,0,202031,202031,0,None,27
PEND,swansea-north,PV,5,0.0,0,5564,5564,0,None,43
PEND,swansea-north,PV,10,0.0,0,11128,11128,0,None,43
PEND,swansea-north,PV,20,0.04,8,22257,22248,18,WHIT3_MAIN2A->WHIT3_MAIN2B,43
PEND,swansea-north,PV,30,4.26,1422,33385,31963,900,WHIT3_MAIN2A->WHIT3_MAIN2B,43
PEND,swansea-north,PV,50,22.96,12776,55642,42866,2552,WHIT3_MAIN2A->WHIT3_MAIN2B,43
PEND,swansea-north,Wind,5,0.0,0,12642,12642,0,None,43
PEND,swansea-north,Wind,10,0.0,0,25285,25285,0,None,43
PEND,swansea-north,Wind,20,1.46,736,50570,49833,613,WHIT3_MAIN2A->WHIT3_MAIN2B,43
PEND,swansea-north,Wind,30,9.49,7200,75855,68654,2777,WHIT3_MAIN2A->WHIT3_MAIN2B,43
PEND,swansea-north,Wind,50,28.86,36480,126425,89944,5997,WHIT3_MAIN2A->WHIT3_MAIN2B,43
PEND,swansea-north,BESS,5,0.0,0,20203,20203,0,None,43
PEND,swansea-north,BESS,10,0.0,0,40406,40406,0,None,43
PEND,swansea-north,BESS,20,8.24,6658,80812,74154,4689,WHIT3_MAIN2A->WHIT3_MAIN2B,43
PEND,swansea-north,BESS,30,25.72,31181,121219,90038,4919,PEBL3T->WHIT3_7L9,43
PEND,swansea-north,BESS,50,39.8,80408,202031,121624,5020,WHIT3_MAIN2A->WHIT3_MAIN2B,43
PGTN,swansea-north,PV,5,3.1,172,5564,5392,1209,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,PV,10,4.31,480,11128,10649,1574,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,PV,20,26.04,5797,22257,16460,4248,POND3_#1L5->TRAV3_#3L5,49
PGTN,swansea-north,PV,30,44.39,14820,33385,18565,5565,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,PV,50,63.38,35267,55642,20375,6610,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,Wind,5,23.68,2994,12642,9648,3245,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,Wind,10,28.74,7266,25285,18019,4210,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,Wind,20,42.79,21638,50570,28932,7140,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,Wind,30,54.48,41327,75855,34528,9020,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,Wind,50,68.02,85990,126425,40434,11133,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,BESS,5,24.27,4902,20203,15301,3723,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,BESS,10,34.89,14098,40406,26308,6490,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,BESS,20,51.54,41653,80812,39159,7926,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,BESS,30,58.86,71349,121219,49870,10663,GWAU3_#1H0->GWAU5_1T0,49
PGTN,swansea-north,BESS,50,71.92,145307,202031,56724,17555,GWAU3_#1H0->GWAU5_1T0,49
PNTA,swansea-north,PV,5,0.0,0,5564,5564,0,None,31
PNTA,swansea-north,PV,10,0.0,0,11128,11128,0,None,31
PNTA,swansea-north,PV,20,0.03,7,22257,22250,14,CYNH3->52L6022P24,31
PNTA,swansea-north,PV,30,4.93,1647,33385,31738,1045,CYNH3->52L6022P24,31
PNTA,swansea-north,PV,50,25.36,14112,55642,41530,2865,CYNH3->52L6022P24,31
PNTA,swansea-north,Wind,5,0.0,0,12642,12642,0,None,31
PNTA,swansea-north,Wind,10,0.0,0,25285,25285,0,None,31
PNTA,swansea-north,Wind,20,1.56,790,50570,49780,1083,CYNH3->52L6022P24,31
PNTA,swansea-north,Wind,30,13.4,10166,75855,65689,3813,CYNH3->52L6022P24,31
PNTA,swansea-north,Wind,50,34.64,43792,126425,82632,6966,CYNH3->52L6022P24,31
PNTA,swansea-north,BESS,5,0.0,0,20203,20203,0,None,31
PNTA,swansea-north,BESS,10,0.0,0,40406,40406,0,None,31
PNTA,swansea-north,BESS,20,15.36,12414,80812,68399,4901,CYNH3->52L6022P24,31
PNTA,swansea-north,BESS,30,30.53,37006,121219,84212,4919,BLDI3T->CYNH3_1L9,31
PNTA,swansea-north,BESS,50,42.66,86196,202031,115835,4919,BLDI3T->CYNH3_1L9,31
PONA,swansea-north,PV,5,10.76,599,5564,4966,835,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,PV,10,16.83,1873,11128,9256,1416,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,PV,20,29.05,6465,22257,15792,2451,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,PV,30,39.81,13292,33385,20093,3349,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,PV,50,54.94,30570,55642,25072,4434,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,Wind,5,8.0,1011,12642,11632,1124,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,Wind,10,11.98,3030,25285,22255,1908,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,Wind,20,22.39,11322,50570,39248,4115,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,Wind,30,34.14,25893,75855,49962,6058,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,Wind,50,50.61,63989,126425,62436,8610,PONA3_1L3->LDOV3_2L5,58
PONA,swansea-north,BESS,5,7.49,1514,20203,18689,1464,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,BESS,10,14.01,5659,40406,34747,2901,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,BESS,20,31.15,25173,80812,55640,6658,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,BESS,30,43.48,52710,121219,68509,7930,WGWB3_1L3->58L1323P59M,58
PONA,swansea-north,BESS,50,55.87,112871,202031,89161,10925,WGWB3_1L3->58L1323P59M,58
POND,swansea-north,PV,5,0.01,1,5564,5564,4,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,PV,10,11.17,1243,11128,9885,1738,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,PV,20,40.78,9076,22257,13181,3884,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,PV,30,56.01,18699,33385,14687,4781,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,PV,50,70.78,39383,55642,16259,5871,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,Wind,5,1.12,142,12642,12501,523,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,Wind,10,16.32,4125,25285,21159,3988,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,Wind,20,43.39,21943,50570,28627,7918,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,Wind,30,57.65,43734,75855,32121,9847,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,Wind,50,71.91,90911,126425,35514,11960,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,BESS,5,8.0,1616,20203,18587,3178,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,BESS,10,32.48,13125,40406,27281,4991,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,BESS,20,49.44,39957,80812,40855,10498,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,BESS,30,63.18,76590,121219,44629,17469,POND3_#1L5->TRAV3_#3L5,41
POND,swansea-north,BESS,50,77.91,157393,202031,44638,17568,POND3_#1L5->TRAV3_#3L5,41
PONY,swansea-north,PV,5,0.19,11,5564,5553,67,CYNH3->PONY3_#2L5,25
PONY,swansea-north,PV,10,12.02,1337,11128,9791,1475,CYNH3->PONY3_#2L5,25
PONY,swansea-north,PV,20,37.72,8396,22257,13861,3287,CYNH3->PONY3_#2L5,25
PONY,swansea-north,PV,30,52.28,17452,33385,15933,4215,CYNH3->PONY3_#2L5,25
PONY,swansea-north,PV,50,67.21,37398,55642,18244,5280,CYNH3->PONY3_#2L5,25
PONY,swansea-north,Wind,5,0.0,0,12642,12642,3,CYNH3->PONY3_#2L5,25
PONY,swansea-north,Wind,10,8.09,2046,25285,23239,2707,CYNH3->PONY3_#2L5,25
PONY,swansea-north,Wind,20,35.2,17800,50570,32770,6972,CYNH3->PONY3_#2L5,25
PONY,swansea-north,Wind,30,51.12,38775,75855,37080,9155,CYNH3->PONY3_#2L5,25
PONY,swansea-north,Wind,50,67.31,85103,126425,41322,11366,CYNH3->PONY3_#2L5,25
PONY,swansea-north,BESS,5,0.46,92,20203,20111,583,CYNH3->PONY3_#2L5,25
PONY,swansea-north,BESS,10,25.37,10251,40406,30156,4919,CYNH3->PONY3_#2L5,25
PONY,swansea-north,BESS,20,43.41,35083,80812,45730,6113,CYNH3->PONY3_#2L5,25
PONY,swansea-north,BESS,30,56.23,68167,121219,53052,17506,CYNH3->PONY3_#2L5,25
PONY,swansea-north,BESS,50,73.74,148977,202031,53054,17568,CYNH3->PONY3_#2L5,25
RAVE,swansea-north,PV,5,0.18,10,5564,5554,62,SWAW3_#2T0->SWAW1_213,34
RAVE,swansea-north,PV,10,1.35,150,11128,10979,436,SWAW3_#6L5->RAVE3T,34
RAVE,swansea-north,PV,20,24.0,5342,22257,16915,2684,SWAW3_#6L5->RAVE3T,34
RAVE,swansea-north,PV,30,41.04,13702,33385,19683,3822,SWAW3_#6L5->RAVE3T,34
RAVE,swansea-north,PV,50,59.33,33012,55642,22630,4937,SWAW3_#6L5->RAVE3T,34
RAVE,swansea-north,Wind,5,4.14,523,12642,12119,619,SWAW3_#2T0->SWAW1_213,34
RAVE,swansea-north,Wind,10,8.37,2117,25285,23168,2046,SWAW3_#2T0->SWAW1_213,34
RAVE,swansea-north,Wind,20,30.77,15561,50570,35009,6059,SWAW3_#6L5->RAVE3T,34
