GSP Name,From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Season,Import TL MW,Export TL MW,Import CAFPL MVA,Export CARPL MVA
Rassau,950804,950812,0,RASS4_113,RASS1_SGT1,,S1,Winter,-156.5,173.9,,240.0
Rassau,950804,950812,0,RASS4_113,RASS1_SGT1,,S1,Intermediate Cool,-152.0,173.9,,240.0
Rassau,950804,950812,0,RASS4_113,RASS1_SGT1,,S1,Intermediate Warm,-152.0,173.9,,240.0
Rassau,950804,950812,0,RASS4_113,RASS1_SGT1,,S1,Summer,-130.5,173.9,,240.0
Rassau,950810,950813,0,RASS4_213,RASS1_SGT2,,S2,Winter,-156.5,173.9,,240.0
Rassau,950810,950813,0,RASS4_213,RASS1_SGT2,,S2,Intermediate Cool,-152.0,173.9,,240.0
Rassau,950810,950813,0,RASS4_213,RASS1_SGT2,,S2,Intermediate Warm,-152.0,173.9,,240.0
Rassau,950810,950813,0,RASS4_213,RASS1_SGT2,,S2,Summer,-130.5,173.9,,240.0
