substation,technology,capacity_mw,curtailment_pct,binding_branch,confidence,confidence_reason,model_residual_mw,pel_mw,residual_pct_of_pel,model_residual_std,model_max_residual
PCYL,Wind,50,27.42,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,BESS,5,8.8,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,BESS,10,11.05,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,BESS,20,15.22,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,BESS,30,19.64,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,BESS,50,30.8,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PEND,PV,5,0.13,WGWB3_1L3->58L1323P59M,High,Residual 0.5 MW on 5 MW PEL — operationally negligible.,-0.4789953374518066,5.2641,9.099282639991767,1.1587362418990803,3.2396748401740547
PEND,PV,10,0.42,WGWB3_1L3->58L1323P59M,High,Residual 0.5 MW on 5 MW PEL — operationally negligible.,-0.4789953374518066,5.2641,9.099282639991767,1.1587362418990803,3.2396748401740547
PEND,PV,20,11.54,SPRI3->58L5296P162,Moderate,Branch active (mean 0.8 MW) but no generation residual available,,7.21654192629437,,,
PEND,PV,30,26.13,SPRI3->58L5296P162,Moderate,Branch active (mean 0.8 MW) but no generation residual available,,7.21654192629437,,,
