substation,technology,capacity_mw,curtailment_pct,binding_branch,confidence,confidence_reason,model_residual_mw,pel_mw,residual_pct_of_pel,model_residual_std,model_max_residual
LWNI,PV,50,25.74,RHOS3_2L5->LWNI3_1L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,16.873563454879225,,,
LWNI,Wind,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
LWNI,Wind,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
LWNI,Wind,20,5.57,RHOS3_2L5->LWNI3_1L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,16.873563454879225,,,
LWNI,Wind,30,17.74,RHOS3_2L5->LWNI3_1L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,16.873563454879225,,,
LWNI,Wind,50,36.42,RHOS3_2L5->LWNI3_1L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,16.873563454879225,,,
LWNI,BESS,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
LWNI,BESS,10,0.0,RHOS3_2L5->LWNI3_1L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,16.873563454879225,,,
LWNI,BESS,20,11.07,RHOS3_2L5->LWNI3_1L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,16.873563454879225,,,
LWNI,BESS,30,27.45,RHOS3_2L5->LWNI3_1L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,16.873563454879225,,,
LWNI,BESS,50,40.86,RHOS3_2L5->LWNI3_1L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,16.873563454879225,,,
Lampeter,PV,5,0.28,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,PV,10,0.35,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,PV,20,0.42,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,PV,30,0.63,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,PV,50,1.11,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,Wind,5,0.36,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,Wind,10,0.61,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,Wind,20,0.96,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,Wind,30,1.19,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,Wind,50,4.61,59L5036P154->59L5036P152,Moderate,Branch active (mean 2.9 MW) but no generation residual available,,19.148,,,
Lampeter,BESS,5,0.13,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,BESS,10,0.21,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,BESS,20,0.37,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,BESS,30,0.57,LAMP3_2L5->LWNI3_2L3,Moderate,Branch active (mean 0.4 MW) but no generation residual available,,17.605,,,
Lampeter,BESS,50,5.11,59L5036P154->59L5036P152,Moderate,Branch active (mean 2.9 MW) but no generation residual available,,19.148,,,
Llanarth,PV,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
Llanarth,PV,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
Llanarth,PV,20,0.0,,N/A,No curtailment — no binding constraint,,,,,
Llanarth,PV,30,0.1,LLAN1_#110->LLAN3_#1T0,Moderate,Branch active (mean 6.8 MW) but no generation residual available,,45.0,,,
Llanarth,PV,50,6.83,LLAN1_#110->LLAN3_#1T0,Moderate,Branch active (mean 6.8 MW) but no generation residual available,,45.0,,,
Llanarth,Wind,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
Llanarth,Wind,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
Llanarth,Wind,20,0.0,,N/A,No curtailment — no binding constraint,,,,,
Llanarth,Wind,30,0.04,LLAN1_#110->LLAN3_#1T0,Moderate,Branch active (mean 6.8 MW) but no generation residual available,,45.0,,,
Llanarth,Wind,50,4.84,LLAN1_#110->LLAN3_#1T0,Moderate,Branch active (mean 6.8 MW) but no generation residual available,,45.0,,,
Llanarth,BESS,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
Llanarth,BESS,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
Llanarth,BESS,20,0.0,,N/A,No curtailment — no binding constraint,,,,,
Llanarth,BESS,30,0.15,LLAN1_#110->LLAN3_#1T0,Moderate,Branch active (mean 6.8 MW) but no generation residual available,,45.0,,,
Llanarth,BESS,50,15.09,LLAN1_#110->LLAN3_#1T0,Moderate,Branch active (mean 6.8 MW) but no generation residual available,,45.0,,,
