Half Hour,Wind,PV,BESS Export pu,BESS Import pu,Other
2024-01-01T00:30:00.000000000,0.7275058514795969,0.0,0.25,-1.0,1.0
2024-01-01T01:00:00.000000000,0.7241791914066005,0.0,0.25,-1.0,1.0
2024-01-01T01:30:00.000000000,0.7071733344530793,0.0,1.0,-1.0,1.0
2024-01-01T02:00:00.000000000,0.6769861620408579,0.0,0.25,-1.0,1.0
2024-01-01T02:30:00.000000000,0.6383452167609796,0.0,1.0,-1.0,1.0
2024-01-01T03:00:00.000000000,0.6432085538631567,0.0,0.25,-1.0,1.0
2024-01-01T03:30:00.000000000,0.6357921658139858,0.0,0.25,-1.0,1.0
2024-01-01T04:00:00.000000000,0.6120042874288991,0.0,0.25,-1.0,1.0
2024-01-01T04:30:00.000000000,0.5841273694947219,0.0,0.25,-1.0,1.0
2024-01-01T05:00:00.000000000,0.5457573330795356,0.0,0.25,-1.0,1.0
2024-01-01T05:30:00.000000000,0.5373495185821469,0.0,0.25,-1.0,1.0
2024-01-01T06:00:00.000000000,0.4820483322847945,0.0,0.25,-1.0,1.0
2024-01-01T06:30:00.000000000,0.42634238896425436,0.0,0.25,-1.0,1.0
2024-01-01T07:00:00.000000000,0.3877656986219402,0.0,0.25,-1.0,1.0
2024-01-01T07:30:00.000000000,0.3806261006573269,0.0,0.25,-1.0,1.0
2024-01-01T08:00:00.000000000,0.34655312217081413,0.0,0.25,-1.0,1.0
2024-01-01T08:30:00.000000000,0.2606040356785606,0.0005437492520991754,0.25,-1.0,1.0
2024-01-01T09:00:00.000000000,0.19197679943085108,0.010341965793202538,0.25,-1.0,1.0
2024-01-01T09:30:00.000000000,0.17334255319808067,0.02872627083370013,0.25,-1.0,1.0
2024-01-01T10:00:00.000000000,0.1932691404240297,0.0640229600082778,0.25,-1.0,1.0
2024-01-01T10:30:00.000000000,0.14327105899145745,0.08131210408506723,0.25,-1.0,1.0
2024-01-01T11:00:00.000000000,0.139881085371812,0.07250430508023267,1.0,-1.0,1.0
2024-01-01T11:30:00.000000000,0.12121765807217741,0.07803072560725433,0.25,-1.0,1.0
2024-01-01T12:00:00.000000000,0.1146484294190245,0.08783318632963191,0.25,-1.0,1.0
2024-01-01T12:30:00.000000000,0.12316304005499337,0.09698095086554703,0.25,-1.0,1.0
2024-01-01T13:00:00.000000000,0.2574600603998332,0.0885568856582552,0.25,-1.0,1.0
2024-01-01T13:30:00.000000000,0.30607687891580515,0.045402464175977424,1.0,-1.0,1.0
2024-01-01T14:00:00.000000000,0.3664313755582893,0.02212025463577377,1.0,-1.0,1.0
2024-01-01T14:30:00.000000000,0.4258322294494882,0.011540423837896403,0.25,-1.0,1.0
2024-01-01T15:00:00.000000000,0.43039044697983886,0.007387929044661026,0.25,-1.0,1.0
2024-01-01T15:30:00.000000000,0.4975703979275479,0.002382137805283113,0.25,-1.0,1.0
2024-01-01T16:00:00.000000000,0.5527463040557646,0.00011295667307093383,0.25,-1.0,1.0
2024-01-01T16:30:00.000000000,0.5561173844149456,0.0,0.25,-1.0,1.0
2024-01-01T17:00:00.000000000,0.6525960331811806,0.0,0.25,-1.0,1.0
2024-01-01T17:30:00.000000000,0.6974892773165753,0.0,1.0,-1.0,1.0
2024-01-01T18:00:00.000000000,0.7030514278532702,0.0,0.25,-1.0,1.0
2024-01-01T18:30:00.000000000,0.702767248935467,0.0,0.25,-1.0,1.0
2024-01-01T19:00:00.000000000,0.6930961692616605,0.0,0.25,-1.0,1.0
2024-01-01T19:30:00.000000000,0.7332713857959123,0.0,0.25,-1.0,1.0
2024-01-01T20:00:00.000000000,0.7291118842467809,0.0,0.25,-1.0,1.0
2024-01-01T20:30:00.000000000,0.7326025717030082,0.0,0.25,-1.0,1.0
2024-01-01T21:00:00.000000000,0.7268400652184224,0.0,0.25,-1.0,1.0
2024-01-01T21:30:00.000000000,0.7281252447392969,0.0,0.25,-1.0,1.0
2024-01-01T22:00:00.000000000,0.7247771588314009,0.0,0.25,-1.0,1.0
2024-01-01T22:30:00.000000000,0.6616656852221507,0.0,0.25,-1.0,1.0
2024-01-01T23:00:00.000000000,0.5761695268223723,0.0,0.25,-1.0,1.0
2024-01-01T23:30:00.000000000,0.5940708858395909,0.0,0.25,-1.0,1.0
2024-01-02T00:00:00.000000000,0.5991459150978453,0.0,0.25,-1.0,1.0
2024-01-02T00:30:00.000000000,0.5597646503474891,0.0,0.25,-1.0,1.0
2024-01-02T01:00:00.000000000,0.5818147069827362,0.0,0.25,-1.0,1.0
2024-01-02T01:30:00.000000000,0.5995270986599444,0.0,0.25,-1.0,1.0
2024-01-02T02:00:00.000000000,0.6179162709387637,0.0,0.25,-1.0,1.0
2024-01-02T02:30:00.000000000,0.6388640455440536,0.0,0.25,-1.0,1.0
2024-01-02T03:00:00.000000000,0.6147685515586852,0.0,0.25,-1.0,1.0
2024-01-02T03:30:00.000000000,0.5684901769888173,0.0,0.25,-1.0,1.0
2024-01-02T04:00:00.000000000,0.4504613931443585,0.0,0.25,-1.0,1.0
2024-01-02T04:30:00.000000000,0.43876431370471586,0.0,0.25,-1.0,1.0
2024-01-02T05:00:00.000000000,0.4004294177881648,0.0,0.25,-1.0,1.0
2024-01-02T05:30:00.000000000,0.3532475633291496,0.0,0.25,-1.0,1.0
2024-01-02T06:00:00.000000000,0.3225231650231001,0.0,0.25,-1.0,1.0
2024-01-02T06:30:00.000000000,0.30830908905866833,0.0,0.25,-1.0,1.0
2024-01-02T07:00:00.000000000,0.2258729276682997,0.0,1.0,-1.0,1.0
2024-01-02T07:30:00.000000000,0.17191276170407258,0.0,0.25,-1.0,1.0
2024-01-02T08:00:00.000000000,0.12840950954926728,0.0,0.25,-1.0,1.0
2024-01-02T08:30:00.000000000,0.1609216381852455,0.0,0.25,-1.0,1.0
2024-01-02T09:00:00.000000000,0.30295414834635104,0.0008497227033337964,0.25,-1.0,1.0
2024-01-02T09:30:00.000000000,0.3226532906277384,0.0016627241713756532,0.25,-1.0,1.0
2024-01-02T10:00:00.000000000,0.3576176072370992,0.003047467515896934,0.25,-1.0,1.0
2024-01-02T10:30:00.000000000,0.38897699233524696,0.010618894252186255,0.25,-1.0,1.0
2024-01-02T11:00:00.000000000,0.45033215654224734,0.02125560858997184,0.25,-1.0,1.0
2024-01-02T11:30:00.000000000,0.4546476394423881,0.03874868764762858,0.25,-1.0,1.0
2024-01-02T12:00:00.000000000,0.4670550057080992,0.04612948240638845,0.25,-1.0,1.0
2024-01-02T12:30:00.000000000,0.5081057918838864,0.06130911501324841,0.25,-1.0,1.0
2024-01-02T13:00:00.000000000,0.6592251106606883,0.047625076027033836,1.0,-1.0,1.0
2024-01-02T13:30:00.000000000,0.5789015960912586,0.08769560952023467,0.25,-1.0,1.0
2024-01-02T14:00:00.000000000,0.6255143351694052,0.08474214439747602,0.25,-1.0,1.0
2024-01-02T14:30:00.000000000,0.6510787524940521,0.13952445018233378,0.25,-1.0,1.0
2024-01-02T15:00:00.000000000,0.6547186757209839,0.06282615766875012,1.0,-1.0,1.0
2024-01-02T15:30:00.000000000,0.7098343020558133,0.05088706097584842,0.25,-1.0,1.0
2024-01-02T16:00:00.000000000,0.6881949694863343,0.011823733972069686,0.25,-1.0,1.0
2024-01-02T16:30:00.000000000,0.6623957082517322,0.0010791700424632052,0.25,-1.0,1.0
2024-01-02T17:00:00.000000000,0.707675183295467,0.0,0.25,-1.0,1.0
2024-01-02T17:30:00.000000000,0.6948137440308675,0.0,1.0,-1.0,1.0
2024-01-02T18:00:00.000000000,0.6933692773060022,0.0,0.25,-1.0,1.0
2024-01-02T18:30:00.000000000,0.6833225983371157,0.0,0.25,-1.0,1.0
2024-01-02T19:00:00.000000000,0.6973950071997496,0.0,0.25,-1.0,1.0
2024-01-02T19:30:00.000000000,0.6540099683895175,0.0,0.25,-1.0,1.0
2024-01-02T20:00:00.000000000,0.6472363302864198,0.0,0.25,-1.0,1.0
2024-01-02T20:30:00.000000000,0.5932599025432508,0.0,0.25,-1.0,1.0
2024-01-02T21:00:00.000000000,0.6056726544449186,0.0,0.25,-1.0,1.0
2024-01-02T21:30:00.000000000,0.6789922270975395,0.0,0.25,-1.0,1.0
2024-01-02T22:00:00.000000000,0.5976029452483371,0.0,0.25,-1.0,1.0
2024-01-02T22:30:00.000000000,0.5030036696519649,0.0,0.25,-1.0,1.0
2024-01-02T23:00:00.000000000,0.37458447290017294,0.0,0.25,-1.0,1.0
2024-01-02T23:30:00.000000000,0.2640142212521315,0.0,0.25,-1.0,1.0
2024-01-03T00:00:00.000000000,0.3179705347239811,0.0,0.25,-1.0,1.0
2024-01-03T00:30:00.000000000,0.4301948085867878,0.0,0.25,-1.0,1.0
2024-01-03T01:00:00.000000000,0.5438082753588653,0.0,1.0,-1.0,1.0
2024-01-03T01:30:00.000000000,0.4673987008609346,0.0,0.25,-1.0,1.0
2024-01-03T02:00:00.000000000,0.45658557832810887,0.0,0.25,-1.0,1.0
2024-01-03T02:30:00.000000000,0.4694250212729773,0.0,1.0,-1.0,1.0
2024-01-03T03:00:00.000000000,0.5762024462997997,0.0,0.25,-1.0,1.0
2024-01-03T03:30:00.000000000,0.560586405022926,0.0,0.25,-1.0,1.0
2024-01-03T04:00:00.000000000,0.5937857246400684,0.0,0.25,-1.0,1.0
2024-01-03T04:30:00.000000000,0.6388211735819576,0.0,0.25,-1.0,1.0
2024-01-03T05:00:00.000000000,0.5535708100804607,0.0,0.25,-1.0,1.0
2024-01-03T05:30:00.000000000,0.5532890344865674,0.0,0.25,-1.0,1.0
2024-01-03T06:00:00.000000000,0.5589660274260405,0.0,0.25,-1.0,1.0
2024-01-03T06:30:00.000000000,0.5506917287198662,0.0,0.25,-1.0,1.0
2024-01-03T07:00:00.000000000,0.53958028515364,0.0,0.25,-1.0,1.0
2024-01-03T07:30:00.000000000,0.4849417068106426,0.0,0.25,-1.0,1.0
2024-01-03T08:00:00.000000000,0.41603388361746557,0.0,0.25,-1.0,1.0
2024-01-03T08:30:00.000000000,0.4486957268675641,0.0,0.25,-1.0,1.0
2024-01-03T09:00:00.000000000,0.45896196213031415,0.004153274034428611,0.25,-1.0,1.0
