branch,published_sf,mean_implied,std_implied,p5,p95,n_obs,sign_correct,magnitude_error_pct,instability_pct,range_p5_p95
52L6050P55->GWAU3_MAIN1,-0.0789,-0.002392908076371129,0.0025013508134655873,-0.006916804133674772,0.0009087119416068551,2395,True,-96.96716340130402,3.1702798649753956,0.007825516075281628
52L6050P55->TRMY3M,-0.9203999999999999,0.0008795302054248687,0.010901354586513916,-0.02083393647589194,0.01616663409083249,2395,False,-99.90444043835019,1.18441488336744,0.03700057056672443
52L6053P10->52L6053P11,0.0728,-0.00191705386911068,0.0022465209081806753,-0.005488801264342,0.0019108555552041805,2395,False,-97.3666842457271,3.085880368380048,0.007399656819546181
52L6053P10->SWAN3_2L5,-0.0729,-0.05996000158298636,0.02076292554589889,-0.09396605420908606,-0.025970609919946538,2395,True,-17.750340764079077,28.48137934965554,0.06799544428913952
52L6061P35E->GLWI3T,-0.1978,0.015644592995057716,0.006713862745802319,0.006895094270564971,0.027102869913465433,2395,False,-92.09070121584546,3.394268324470333,0.020207775642900463
52L6061P35W->LIME3T,0.1978,-0.015644592995057716,0.006713862745802319,-0.027102869913465454,-0.006895094270564971,2395,False,-92.09070121584546,3.394268324470333,0.020207775642900484
52L6067P19->INCS3_MAIN2,-0.0726,0.0006168378028868835,0.0021470790672916524,-0.0026305901938075667,0.004217401161072762,2395,False,-99.15036115304838,2.9574091835973175,0.006847991354880329
52L6067P19->TYNY3T,-0.9274,-0.0006168378028868835,0.0021470790672916524,-0.004217401161072762,0.0026305901938075645,2395,True,-99.93348740533891,0.23151596584986547,0.006847991354880326
82B5C4N->B31_1N,-0.0709,0.05784424081460001,0.10706965590313236,-0.11239636798031495,0.2455549227347342,2395,False,-18.414328893370936,151.01502948255623,0.35795129071504916
82B5C4S->B31_1S,0.0703,0.05033575412182046,0.10093585644343835,-0.11601642248423838,0.21516082501150252,2395,True,-28.39864278546165,143.57874316278568,0.3311772474957409
82B5C4S->C6__1SW,-0.0703,-0.05033575412182046,0.10093585644343835,-0.21516082501150263,0.11601642248423828,2395,True,-28.39864278546165,143.57874316278568,0.3311772474957409
82C21AN->82C6N,-0.0707,0.05763547007631323,0.1066573619723481,-0.11198305388774904,0.2445870551517376,2395,False,-18.478825917520187,150.8590692678191,0.3565701090394866
82C66N->AMMA1_103,0.4928,0.03633208764906046,0.025658859820221164,-0.008087637023240465,0.07564891046255792,2395,True,-92.62741727900558,5.206749151830593,0.08373654748579838
82C66S->AMMA1_203,0.4295,0.02659864567701974,0.02432454521113245,-0.016483795089676703,0.061861964865809686,2395,True,-93.80706736274279,5.663456393744459,0.07834575995548639
82C6N->82B5C4N,-0.0709,0.05782563593745907,0.10703476669627478,-0.11234965884147739,0.24550118342342592,2395,False,-18.440569904853223,150.9658204460857,0.3578508422649033
82D19N->82D20N,0.1635912087912088,0.0017855140016457634,0.029784455624645243,-0.050473818681072806,0.044230717760042976,2395,True,-98.9085513733659,18.20663582396967,0.09470453644111579
82D19N->YSTR1_405,-0.1635912087912088,-0.0017855140016457634,0.029784455624645243,-0.04423071776004303,0.050473818681072764,2395,True,-98.9085513733659,18.20663582396967,0.09470453644111579
82D19S->82D20S,0.16260879120879118,0.0010430191724921621,0.04452161004030426,-0.07076999658409606,0.07463486526390961,2395,True,-99.35857147406445,27.379583667858466,0.14540486184800566
82D19S->YSTR1_605,-0.16260879120879118,-0.0010430191724921621,0.04452161004030426,-0.07463486526390965,0.07076999658409591,2395,True,-99.35857147406445,27.379583667858466,0.14540486184800555
82V28CW->SWAN1_1205,-0.14841379310344827,0.0018502777121432398,0.06213190747920775,-0.08557397014296249,0.11220714503890297,2395,False,-98.75329800994066,41.86397111749593,0.19778111518186547
82V28CW->TROS1_203,0.5024,0.0348115370755437,0.03295104295345205,-0.021847638369483134,0.08716984630485515,2395,True,-93.07095201521821,6.558726702518324,0.10901748467433828
82V33S->82V28CW,-0.4734,0.03677697240339444,0.046094012480143394,-0.02710287575750791,0.12007372867308364,2395,False,-92.23131127938436,9.736800270414744,0.14717660443059155
82V33S->TIRJ1_203,0.479,-0.021623795515866885,0.03730680897022552,-0.08923207463390613,0.03356856878919723,2395,False,-95.48563767935973,7.788477864347708,0.12280064342310336
82V97N->82C21AN,-0.0705,0.05745910448220589,0.1063042165742502,-0.1116432057568612,0.24377821843767078,2395,False,-18.49772413871504,150.7861228003549,0.355421424194532
82V97N->SWAN1_605,0.0705,-0.057458055052853084,0.10630351626834986,-0.2437807179405225,0.11164084803244625,2395,False,-18.499212690988525,150.78512945865228,0.35542156597296876
