From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,From Bus kV,To Bus kV,Branch Type,Reverse PEL MW,Forward PEL MW,Season
2111,505404,0,LLAN1T,RHOS1_403,,L1,132.0,132.0,Non-transformer branch,-101.512,88.19568473377899,Intermediate Warm
2111,505404,0,LLAN1T,RHOS1_403,,L1,132.0,132.0,Non-transformer branch,-97.854,85.01754013258737,Summer
2111,546302,0,LLAN1T,LLAN1_103,,L1,132.0,132.0,Non-transformer branch,-43.53059832745381,109.743,Winter
2111,546302,0,LLAN1T,LLAN1_103,,L1,132.0,132.0,Non-transformer branch,-42.62343815892473,107.456,Intermediate Cool
2111,546302,0,LLAN1T,LLAN1_103,,L1,132.0,132.0,Non-transformer branch,-40.26569437154526,101.512,Intermediate Warm
2111,546302,0,LLAN1T,LLAN1_103,,L1,132.0,132.0,Non-transformer branch,-38.814714093242074,97.854,Summer
2111,546600,0,LLAN1T,ABYS1_MAIN2,,L1,132.0,132.0,Non-transformer branch,-107.9670137402292,109.743,Winter
2111,546600,0,LLAN1T,ABYS1_MAIN2,,L1,132.0,132.0,Non-transformer branch,-105.71702457988273,107.456,Intermediate Cool
2111,546600,0,LLAN1T,ABYS1_MAIN2,,L1,132.0,132.0,Non-transformer branch,-99.86921716007534,101.512,Intermediate Warm
2111,546600,0,LLAN1T,ABYS1_MAIN2,,L1,132.0,132.0,Non-transformer branch,-96.27041508375376,97.854,Summer
2146,5737,0,BBWT3,DHEL3_1L9,,L1,33.0,33.0,Non-transformer branch,-8.2308,15.868829547500052,Winter
2146,5737,0,BBWT3,DHEL3_1L9,,L1,33.0,33.0,Non-transformer branch,-8.0592,15.537987934248484,Intermediate Cool
2146,5737,0,BBWT3,DHEL3_1L9,,L1,33.0,33.0,Non-transformer branch,-7.6133999999999995,14.67849381310892,Intermediate Warm
2146,5737,0,BBWT3,DHEL3_1L9,,L1,33.0,33.0,Non-transformer branch,-7.3389,14.149262910792164,Summer
2146,530900,0,BBWT3,BLBW3_#1L5,,L1,33.0,33.0,Non-transformer branch,-27.436,27.436,Winter
2146,530900,0,BBWT3,BLBW3_#1L5,,L1,33.0,33.0,Non-transformer branch,-26.864,26.864,Intermediate Cool
2146,530900,0,BBWT3,BLBW3_#1L5,,L1,33.0,33.0,Non-transformer branch,-25.378,25.378,Intermediate Warm
2146,530900,0,BBWT3,BLBW3_#1L5,,L1,33.0,33.0,Non-transformer branch,-24.463,24.463,Summer
2157,547206,0,SWNL31,SWAN3_7L5,,L1,33.0,33.0,Non-transformer branch,-12.415765749241276,24.921,Winter
2157,547206,0,SWNL31,SWAN3_7L5,,L1,33.0,33.0,Non-transformer branch,-12.01720178313265,24.121,Intermediate Cool
2157,547206,0,SWNL31,SWAN3_7L5,,L1,33.0,33.0,Non-transformer branch,-12.01720178313265,24.121,Intermediate Warm
2157,547206,0,SWNL31,SWAN3_7L5,,L1,33.0,33.0,Non-transformer branch,-11.703830864779746,23.492,Summer
2158,547219,0,SWNL32,SWAN3_14L5,,L1,33.0,33.0,Non-transformer branch,-12.476655869545732,24.921,Winter
2158,547219,0,SWNL32,SWAN3_14L5,,L1,33.0,33.0,Non-transformer branch,-12.076137242859943,24.121,Intermediate Cool
2158,547219,0,SWNL32,SWAN3_14L5,,L1,33.0,33.0,Non-transformer branch,-12.076137242859943,24.121,Intermediate Warm
2158,547219,0,SWNL32,SWAN3_14L5,,L1,33.0,33.0,Non-transformer branch,-11.76122947262824,23.492,Summer
2162,545100,0,GLWI3T,GLWI3_#1L5,,L1,33.0,33.0,Non-transformer branch,-32.637,32.637,Winter
2162,545100,0,GLWI3T,GLWI3_#1L5,,L1,33.0,33.0,Non-transformer branch,-30.465,30.465,Intermediate Cool
2162,545100,0,GLWI3T,GLWI3_#1L5,,L1,33.0,33.0,Non-transformer branch,-30.465,30.465,Intermediate Warm
