mrid,name,n_windings,container,end1_node,end1_name,end1_kv,end1_r,end1_x,end1_rated_s,end2_node,end2_name,end2_kv,end2_r,end2_x,end2_rated_s,end3_node,end3_name,end3_kv,end3_r,end3_x,end3_rated_s
95b4bae8-0d82-4995-ae1b-5f844753d1a1,33/11kV 2WT BRID3_2H3-BRID5_2T0,2,155e6261-64f9-41ac-bc30-c876c53af23e,0b23cf90-dba9-4cff-b8a3-0a89d4810157,BRID3_2H3,33.0,1.26727,16.0673,100.0,b37d4f86-9a35-451f-95fb-192842d0d218,BRID5_2T0,11.0,0.0,0.0,100.0,,,,,,
495e125c-f0ee-4d81-8d92-1e7f1aacb3cf,132/33kV 2WT BRIF1_#210-BRIF3_#2T0,2,27aa7925-d1a4-43d7-845c-f2731c5fdf21,2eac8092-f7c5-466d-9ddd-e5ca451e8ca7,BRIF1_#210,132.0,0.808474,39.4288,100.0,6fe2fcff-142f-436e-9ef8-f1dfc50d66d0,BRIF3_#2T0,33.0,0.0,0.0,100.0,,,,,,
72423599-1b72-48a8-99f5-47a8b0a1960c,132/33kV 2WT BRIF1_113-BRIF3_#1T0,2,27aa7925-d1a4-43d7-845c-f2731c5fdf21,c5896e16-5a94-4a8d-a037-d89d50af4cb2,BRIF1_113,132.0,0.808474,39.4288,100.0,63e35d43-5856-4358-898c-569de37378a5,BRIF3_#1T0,33.0,0.0,0.0,100.0,,,,,,
8b102397-91e9-431d-94d0-d3dad68b58bc,33/11kV 2WT BRIF3_T3-BRIF5_3T0,2,27aa7925-d1a4-43d7-845c-f2731c5fdf21,9bd0cf55-7cd3-4823-ab80-beb75a8e9d7c,BRIF3_T3,33.0,0.493862,12.2208,100.0,6a9359bd-0db6-47b4-a6d4-d48257712967,BRIF5_3T0,11.0,0.0,0.0,100.0,,,,,,
c58443df-d7e5-41f4-af29-6282849345d7,33/11kV 2WT BRIF3_T4-BRIF5_4T0,2,27aa7925-d1a4-43d7-845c-f2731c5fdf21,f65f4001-bb4e-4983-a712-b23b6293ccf8,BRIF3_T4,33.0,0.530452,12.0399,100.0,7f483bea-9bb2-4c5f-b252-1fc6008c8165,BRIF5_4T0,11.0,0.0,0.0,100.0,,,,,,
6d5b5bf9-1e25-4019-a631-81204d7ed6c7,33/11kV 2WT BRMA3_1H3-BRMA5_1T0,2,47625cdd-58c2-406a-9ccf-91b89a3e9f35,3327e017-9fd2-4a14-a162-b9645bd8d99e,BRMA3_1H3,33.0,0.572814,10.4762,100.0,3c74f220-3e7b-4611-b393-306c1953a7e7,BRMA5_1T0,11.0,0.0,0.0,100.0,,,,,,
8e8227de-dccc-4583-83b0-62d8ef67dc04,33/11kV 2WT BRMA3_2H3-BRMA5_2T0,2,47625cdd-58c2-406a-9ccf-91b89a3e9f35,a7e4ae92-637f-4e0b-bf31-560247d55494,BRMA3_2H3,33.0,0.574992,10.4762,100.0,9a1974d4-833a-4761-a7a9-3ba316ecd2f3,BRMA5_2T0,11.0,0.0,0.0,100.0,,,,,,
b1ee3da1-1755-4798-a6d7-c9247d44cd42,33/11kV 2WT BROA3_T1-BROA5_1T0,2,e22c5403-c6d3-478d-9a90-5e1c9b38efbf,a98b75cd-bdb9-4a19-98d0-6100e6434995,BROA3_T1,33.0,0.840708,12.1532,100.0,6a4aa090-3eb5-44b4-b202-83d5bad988b7,BROA5_1T0,11.0,0.0,0.0,100.0,,,,,,
c187d245-8616-452c-8303-3c097ca5a20a,33/11kV 2WT BROF3_1H3-BROF5_1T0,2,0f56c04f-8226-4626-9ab9-c94ac570cb4a,28fc0e0a-5356-4d05-96a3-8410be1f6a4b,BROF3_1H3,33.0,0.569547,12.3016,100.0,e5fe47fd-a3bb-4515-bcee-aa40476a9e46,BROF5_1T0,11.0,0.0,0.0,100.0,,,,,,
928ea89e-abcb-4786-afa1-e3cfb1c631b8,33/11kV 2WT BROF3_2H3-BROF5_2T0,2,0f56c04f-8226-4626-9ab9-c94ac570cb4a,1fa06f58-12c8-4d67-88f5-9b200a732f91,BROF3_2H3,33.0,0.570418,12.2925,100.0,8bd5c7f8-1c03-4e98-89eb-18afd3899e36,BROF5_2T0,11.0,0.0,0.0,100.0,,,,,,
5be82dc3-7bed-4b98-8a28-b0caf8f44c3b,33/11kV 2WT BRTE31-BRTE5_1T0,2,bb8891a3-0048-4cd8-b675-a266edf54443,99912584-0a15-4a03-b210-b11d816544ac,BRTE31,33.0,0.532412,12.058,100.0,63d78077-5a0d-436b-94a2-fb9e0c0923e6,BRTE5_1T0,11.0,0.0,0.0,100.0,,,,,,
c923165c-af8b-415a-8993-a785e238ae36,33/11kV 2WT BRTE32-BRTE5_2T0,2,bb8891a3-0048-4cd8-b675-a266edf54443,5fe0cf5a-048a-4069-b9b8-2ffeb2a48bdb,BRTE32,33.0,0.535897,12.0942,100.0,c5ccfd50-0b04-4d2d-ae18-da1be0a472c5,BRTE5_2T0,11.0,0.0,0.0,100.0,,,,,,
cf326141-4415-4dc0-94bc-f0fd0f4ce1bb,66/11kV 2WT BUIL6_#1H0-BUIL5_1T0,2,440720ce-290d-4ecf-ab25-104bb84219e5,6dffdb38-6835-42fa-b9cf-20c6b1f3d591,BUIL6_#1H0,66.0,3.16463,42.5146,100.0,06df1cc5-fe4b-4c41-b911-a02355c750a1,BUIL5_1T0,11.0,0.0,0.0,100.0,,,,,,
b3fbaf72-1c9d-43d3-bd13-20705c1edd0d,66/11kV 2WT BUIL6_#2H0-BUIL5_2T0,2,440720ce-290d-4ecf-ab25-104bb84219e5,23d4278b-9fd4-428a-b4ec-82ee289fd1fc,BUIL6_#2H0,66.0,2.73687,44.0557,100.0,4801e5af-9664-4a20-bd6d-3b0c165ff6b2,BUIL5_2T0,11.0,0.0,0.0,100.0,,,,,,
3624ded0-e3ad-41c0-b556-a3c72bde053b,66/11kV 2WT CAEA6_1H3-CAEA5_1T0,2,5bd27e45-5919-4258-a44b-7220a9756b48,a10b5ce6-f550-449c-a58f-b0ae5f4cd5f3,CAEA6_1H3,66.0,1.43574,37.2887,100.0,17bea41b-e710-4f7b-866d-2d216cbf4489,CAEA5_1T0,11.0,0.0,0.0,100.0,,,,,,
d174c6d0-75e9-4f73-a9f7-c83379068588,66/11kV 2WT CAEA6_2H3-CAEA5_2T0,2,5bd27e45-5919-4258-a44b-7220a9756b48,3fe6cddc-fdab-4dfc-b28f-536c3033498a,CAEA6_2H3,66.0,1.42311,37.1075,100.0,75775ae3-a6ed-4b01-b33d-65155a3d905f,CAEA5_2T0,11.0,0.0,0.0,100.0,,,,,,
d9cdb32e-3f6c-46ff-9411-a6ee7ada9b87,33/11kV 2WT CAER32-CAER5_2T0,2,1b13563d-b5c0-4c31-a1a3-20db56d652a5,775fe18b-1838-481c-8c43-1cfb909af726,CAER32,33.0,0.535679,12.0062,100.0,1022a04a-2973-43e8-90af-6142b29b1f2e,CAER5_2T0,11.0,0.0,0.0,100.0,,,,,,
41c4b33a-7a22-41a2-9da0-68660d3830eb,33/11kV 2WT CAER3_1H0-CAER5_1T0,2,1b13563d-b5c0-4c31-a1a3-20db56d652a5,726df263-f785-434e-88f5-73334c355401,CAER3_1H0,33.0,0.535679,12.0034,100.0,825843aa-8ac1-4ad8-82b4-4bca66f26a14,CAER5_1T0,11.0,0.0,0.0,100.0,,,,,,
9344bc96-0d48-4f7f-9630-92d7db2e3e62,33/11kV 2WT CALD3_#2H0-CALD5_2T0,2,36f25eea-4ecc-4ce7-840a-795d60071cd4,889a62e1-0d41-4a03-b345-21b15e3da49b,CALD3_#2H0,33.0,0.819908,11.9206,100.0,bcb0193d-15cb-492a-8385-7ac5d95d53d5,CALD5_2T0,11.0,0.0,0.0,100.0,,,,,,
9d3a9b5a-1469-43d2-82a5-e527a5614f32,33/11kV 2WT CANT31-CANT5_1T0,2,410e2002-e562-4b62-ad9e-3960e00015b3,db9e93d8-885a-4448-86c2-439ccef578a1,CANT31,33.0,0.673002,10.4326,100.0,1c404741-9379-4296-b0bb-aee09c074d78,CANT5_1T0,11.0,0.0,0.0,100.0,,,,,,
dadf93b2-f8b7-40a0-8b3c-aea0490b4b32,33/11kV 2WT CANT32-CANT5_2T0,2,410e2002-e562-4b62-ad9e-3960e00015b3,00ba45ba-eb55-43d5-9f7b-c936150c6b70,CANT32,33.0,0.668646,10.4326,100.0,0abe730b-2c2d-4c9e-8fb5-1bf257f129c4,CANT5_2T0,11.0,0.0,0.0,100.0,,,,,,
a7643d67-e04b-4057-99eb-7595ff96931c,132/11kV 2WT CARC1_GT1A-CARC5_GT1A,2,cc8d9ea4-1cad-4847-b020-9abe5d8ccda9,e288ff77-f591-4537-b475-0c917b15f4d0,CARC1_GT1A,132.0,5.10523,72.6058,100.0,4e875112-ceca-481c-b17a-e71aef86c6df,CARC5_GT1A,11.0,0.0,0.0,100.0,,,,,,
ff06f2c2-7bd0-4b22-85c0-1e080ef495a1,132/33kV 2WT CARC1_GT1B-CARC3_#1T0,2,cc8d9ea4-1cad-4847-b020-9abe5d8ccda9,c3bbf968-8e12-4751-a79c-9a059afc94bd,CARC1_GT1B,132.0,0.721354,43.8736,100.0,5e82169c-c689-4e3f-a1c1-f4cea63f2d8c,CARC3_#1T0,33.0,0.0,0.0,100.0,,,,,,
9be4e1d4-d70f-456f-b928-7977360fa939,132/33kV 2WT CARC1_GT2A-CARC3_#2T0,2,cc8d9ea4-1cad-4847-b020-9abe5d8ccda9,f4df6501-070f-4da9-bb8d-f6afb0a59055,CARC1_GT2A,132.0,0.906048,47.2539,100.0,a5551827-a5e8-4888-9bde-35def35a6e1e,CARC3_#2T0,33.0,0.0,0.0,100.0,,,,,,
4e4c2501-9a52-4e3a-8511-5b35502eb05c,132/11kV 2WT CARC1_GT2B-CARC5_GT2B,2,cc8d9ea4-1cad-4847-b020-9abe5d8ccda9,b40182c9-59ab-41b0-84f2-10a0d784ec27,CARC1_GT2B,132.0,5.10523,72.6058,100.0,53a5d0a0-cd89-45a9-88b8-b4a2f11c3d08,CARC5_GT2B,11.0,0.0,0.0,100.0,,,,,,
e70634bf-c255-4db1-a77d-516bf0949c91,132/11kV 2WT CARE1_#110-CARE5_1T0,2,1e3d6f37-1907-4e4a-b2a7-dee5bc1b1056,af8f2181-4400-48f7-a1cd-755c20bc59d7,CARE1_#110,132.0,4.82993,143.492,100.0,d2cc7294-8759-4e8f-8a32-317776c1ba8c,CARE5_1T0,11.0,0.0,0.0,100.0,,,,,,
dd587ec7-4026-40b8-9794-211b2bc7b669,132/33kV 2WT CARE1_#210-CARE3_#2T0,2,1e3d6f37-1907-4e4a-b2a7-dee5bc1b1056,bcf1c8c5-da97-4987-ae35-fce230416bb4,CARE1_#210,132.0,0.632491,39.9532,100.0,5097138a-efbc-46ae-87c4-b5b28c17a20d,CARE3_#2T0,33.0,0.0,0.0,100.0,,,,,,
7677cad5-7a63-4c88-8230-49c9a9903d9f,132/11kV 2WT CARE1_#310-CARE5_3T0,2,1e3d6f37-1907-4e4a-b2a7-dee5bc1b1056,672f98a8-76d1-4556-8f24-fa4c78b879a0,CARE1_#310,132.0,4.8038,142.448,100.0,2fa77bc0-91d4-4f92-a07e-6b9fd642c3e6,CARE5_3T0,11.0,0.0,0.0,100.0,,,,,,
24dc5643-114f-465c-8e21-cb5e42b71f94,132/33kV 2WT CARE1_#410-CARE3_#4T0,2,1e3d6f37-1907-4e4a-b2a7-dee5bc1b1056,1d138b2c-066d-4a3c-b218-75ff0a32727b,CARE1_#410,132.0,0.665597,40.0979,100.0,b5e505b0-b899-4da1-a2ca-44a06816b452,CARE3_#4T0,33.0,0.0,0.0,100.0,,,,,,
a529cc70-3d42-4962-b084-957c6a4d9d8a,33/11kV 2WT CARG3_#1H0-CARG5_1T0,2,69740591-0656-4940-8c63-82f9500b056e,5e361a6b-7d6d-416c-9d05-79e2f0481014,CARG3_#1H0,33.0,0.94351,9.76441,100.0,2093e596-8029-462d-afd5-95313ff88ad1,CARG5_1T0,11.0,0.0,0.0,100.0,,,,,,
