GSP Name,From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Season,Import TL MW,Export TL MW,Import CAFPL MVA,Export CARPL MVA
Pyle,952804,952808,95320,PYLE2_H13,PYLE1_#180,PYLE8A,S1,Winter,-100.8,181.0,,185.0
Pyle,952804,952808,95320,PYLE2_H13,PYLE1_#180,PYLE8A,S1,Intermediate Cool,-69.6,181.0,,185.0
Pyle,952804,952808,95320,PYLE2_H13,PYLE1_#180,PYLE8A,S1,Intermediate Warm,-69.6,181.0,,185.0
Pyle,952804,952808,95320,PYLE2_H13,PYLE1_#180,PYLE8A,S1,Summer,-73.4,181.0,,185.0
Pyle,952806,952809,95321,PYLE2_H23,PYLE1_#280,PYLE8B,S2,Winter,-100.8,181.0,,185.0
Pyle,952806,952809,95321,PYLE2_H23,PYLE1_#280,PYLE8B,S2,Intermediate Cool,-69.6,181.0,,185.0
Pyle,952806,952809,95321,PYLE2_H23,PYLE1_#280,PYLE8B,S2,Intermediate Warm,-69.6,181.0,,185.0
Pyle,952806,952809,95321,PYLE2_H23,PYLE1_#280,PYLE8B,S2,Summer,-73.4,181.0,,185.0
