GSP Name,From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Season,Import TL MW,Export TL MW,Import CAFPL MVA,Export CARPL MVA
Pembroke,950417,950321,95260,PEMB4_110,PEMB1_SGT1,PEMB8A,S1,Winter,-254.2,272.5,,
Pembroke,950417,950321,95260,PEMB4_110,PEMB1_SGT1,PEMB8A,S1,Intermediate Cool,-253.6,272.5,,
Pembroke,950417,950321,95260,PEMB4_110,PEMB1_SGT1,PEMB8A,S1,Intermediate Warm,-253.6,272.5,,
Pembroke,950417,950321,95260,PEMB4_110,PEMB1_SGT1,PEMB8A,S1,Summer,-219.4,272.5,,
Pembroke,950423,950322,95261,PEMB4_210,PEMB1_SGT2,PEMB8B,S2,Winter,-254.2,272.5,,
Pembroke,950423,950322,95261,PEMB4_210,PEMB1_SGT2,PEMB8B,S2,Intermediate Cool,-253.6,272.5,,
Pembroke,950423,950322,95261,PEMB4_210,PEMB1_SGT2,PEMB8B,S2,Intermediate Warm,-253.6,272.5,,
Pembroke,950423,950322,95261,PEMB4_210,PEMB1_SGT2,PEMB8B,S2,Summer,-219.4,272.5,,
