mrid,name,from_node,to_node,from_name,to_name,r_ohm,x_ohm,bch_s,length_km,kv,container
ffc6a4bf-d96f-48d7-b9a4-5795c1f343be,66kV Line LHSE6T-MONM6_2L5[sec]0,5d2fa4e0-96a8-4264-a604-cc16b194f8de,2a56bfad-be67-41b6-86b8-c1cd04a1675a,LHSE6T,MONM6_2L5,4.78759,6.88958,5.15994e-05,17.473,66.0,d164a995-5a08-4b66-bd58-ac3fe5a705ea
2d487908-fea7-4191-94ca-2345f006d8cf,66kV Line LHSE6_1L9-53L8054P4C[sec]0,3de26ceb-7910-4e16-a9b3-c5b99ab492f8,7f8ff915-76ed-4bcc-9d2c-a22efc52cbd8,LHSE6_1L9,53L8054P4C,0.00126443,0.00306193,2.46506e-08,0.008,66.0,b4ae06f1-0d8e-4fc7-b9c3-296805ae6181
8bf6804d-62ac-48bf-818b-6c23306eb126,33kV Line LIDR3_1L9-LIDR3_#1L5[sec]0,b84d378c-7ef4-4ce5-83b0-561947f781d4,b29a1f43-7677-410e-a498-41a511d2b45b,LIDR3_1L9,LIDR3_#1L5,0.0168186,0.0159974,1.07273e-05,0.132,33.0,0a0f3d11-cc93-4aff-a92b-0a4f4e824773
91396142-7774-44af-87f4-a601ac475041,33kV Line LIME3T-GARN3_1L5[sec]0,c2340108-47ce-4877-b89e-9e369b838380,9048c8b1-d577-4f02-9310-298d47a342b8,LIME3T,GARN3_1L5,0.250519,0.500587,4.88083e-05,1.564,33.0,95806d0f-3f80-4583-bac5-46dc27a5d894
1449e059-3c34-4f4c-b31f-544267636b40,33kV Line LIME3_&2H0-LIME3T[sec]0,0d31d2f5-41ae-4b29-b900-0706b560ed18,c2340108-47ce-4877-b89e-9e369b838380,LIME3_&2H0,LIME3T,0.0564538,0.0545262,6.80441e-05,0.54,33.0,d76029cd-0a98-4865-a458-9d0e6eb80a0b
20b5b905-0ba3-42ba-9b2f-011fed476881,11kV Line LIME5-GARN5[sec]0,345ac400-9284-44e5-bb75-199b02d828f1,f2f59a21-f35e-4c23-b8cc-fe3f4a74c464,LIME5,GARN5,0.394187,0.426573,7.99719e-05,1.573,11.0,ab8d7485-63d7-401f-a21c-1f3e306e96ea
a0b403ef-37eb-4bd6-a200-32dc78059ca9,33kV Line LLAG3_#2L5-BREN3_4L5[sec]0,9ddc9f37-b6ba-4d92-94de-d323634f9e91,672a1e56-74c7-4860-b807-c33b00d1f7b3,LLAG3_#2L5,BREN3_4L5,0.225669,0.249843,0.0003342,2.52021,33.0,4e75dda0-6a74-4c59-b01b-319ccd9600d7
5bf705d9-958d-4121-bf17-24b732601d71,33kV Line LLAG3_#4L5-SCHW3_2L3[sec]0,d9baae98-e63f-4ff3-b46d-13ab7bb50506,30f6f6fe-9e20-449f-928f-27d61f52f76e,LLAG3_#4L5,SCHW3_2L3,0.837903,1.09161,0.000227417,4.247,33.0,132fc757-ce37-4538-9ef6-6982349528c1
ced8b172-3d6a-42f1-af43-e6afa603fe4d,11kV Line LLAG51-LITC5[sec]0,adfd7f6c-8ef5-4624-84cd-5be0ce616d96,da0af917-712d-44ad-a75f-f948f8de8597,LLAG51,LITC5,0.382064,0.274116,0.00081344,3.265,11.0,e530201a-92b2-4c17-9357-3fdbf776eff6
1e251a22-878c-4407-8fa8-5316f5828050,132kV Line LLAN1T-LLAN1_103[sec]0,67cb6ebd-742f-4fe0-a700-c6bdc75d2074,de4ec1cd-e8f3-4b19-8912-11487677e20a,LLAN1T,LLAN1_103,0.989258,2.33647,1.52156e-05,5.567,132.0,643d3c0b-73be-410b-a361-7cc82ae4e3eb
6e171cba-eaa2-4b73-ba4d-5282e996e457,33kV Line LLAN3_1L5-BLAP3_3L5[sec]0,660c0c35-e9da-411e-a580-3248f15360d3,b7db8a6b-da7f-4bcf-b04a-553c4dc418bd,LLAN3_1L5,BLAP3_3L5,4.79116,6.20928,5.76805e-05,17.486,33.0,b2ef6e10-6270-4e9a-aa6a-76cbf7f31878
f96839e4-33b8-42f5-8336-30ed8d5acbdb,33kV Line LLAN3_2L5-ABAE3_1L3[sec]0,ceaefd0f-4c2d-4c8a-9919-6943ba90ce5d,2ed3383a-220a-4002-ab17-8796e1c507f8,LLAN3_2L5,ABAE3_1L3,3.83665,2.76108,2.41506e-05,7.089,33.0,23afc9d5-caeb-4577-bde9-2590f78b59c9
