zone,branch,mean_residual_mw,std_residual_mw,p5_residual,p95_residual,max_abs_residual,mean_gen_contribution,relative_error_pct
swansea-north,SWAN4_710->SWAN1_SGT7,-7.243899316716004,22.233575731313426,-44.38541045672026,29.37795902375382,82.4031095347504,7.846523276509245,92.31986016536314
swansea-north,SWAN4_610->SWAN1_SGT6,-6.857497928319218,21.288247911420594,-42.43920572433082,28.25087901119182,78.90635671211339,7.435862214907889,92.22196068360265
swansea-north,SWAN4_SGT5->SWAN1_SGT5,-6.758111735045224,20.98490203882447,-41.834577431646856,27.850302429845932,77.78034846644678,7.328272397180077,92.21971248838607
swansea-north,SWAN2_H43B->SWAN1_SGT4B,-5.92347075912285,18.198884798822384,-36.327447079811286,24.059603363003692,67.44527388764583,6.416896880397657,92.31051814495996
swansea-north,SWAN4_SGT4A->SWAN2_T43A,-5.920709698493877,18.19055009398705,-36.308140331596704,24.043148244570567,67.41253570778214,6.413948685605434,92.30990125913367
uskmouth,USKM2_H43A->USKM1_SGT4A,2.499451949873894,14.397350437986619,-21.492097356557377,26.189981393442626,60.014981393442625,4.08296482187894,61.21659281707137
uskmouth,USKM2_H23A->USKM1_SGT2A,2.499451949873894,14.397350437986619,-21.492097356557377,26.189981393442626,60.014981393442625,4.08296482187894,61.21659281707137
uskmouth,USKM2_SGT1->USKM1_SGT1,2.499451949873894,14.397350437986619,-21.492097356557377,26.189981393442626,60.014981393442625,4.08296482187894,61.21659281707137
swansea-north,MGWT1->SWAN1_205,3.3092710135274497,16.6917303731759,-21.655451663432117,31.982378755379028,58.9332154547451,3.464403573529048,95.52209906527803
uskmouth,NWST11->USKM1_105,3.1806027181851615,8.47129536397607,-7.088951933060109,18.76206931693989,58.75706931693989,6.197093470602144,51.324104328478306
swansea-north,MGWT1M->PP1S1,-2.600448128953718,15.90403448585658,-30.533956894980363,21.603313082678643,57.905959197370386,3.114673320131917,83.49023674956642
swansea-north,SWAN1_505->MGWT1M,-2.5863959736452693,15.815280825537391,-30.371154536068836,21.487463437120866,57.585978180535236,3.09750864511856,83.49923341525566
uskmouth,NEWS16->NWST12,5.413276870139765,7.60136117454026,-2.4721520969945368,19.862770715505462,57.540039153005466,6.0296377360498115,89.77781264992146
uskmouth,USKM1_905->NWST12,-2.015307464927491,7.395448142390971,-16.015807677595628,6.89194357240437,50.37330767759563,5.970535712090163,33.75421506727699
swansea-north,CARM1_MAIN4->B31_1N,1.203425750421919,13.397611932690573,-19.483876422777332,25.295526320708376,46.6679448501132,0.2109824637058359,570.3913629996309
swansea-north,82B5C4N->B31_1N,-1.1807037942386183,13.1389580417412,-24.8022634745536,19.109743621089905,45.76817068396166,0.20526090536805056,575.2209813756372
swansea-north,82C6N->82B5C4N,-1.1805375984911324,13.134735106709506,-24.791324147618788,19.104235572808456,45.74281597064776,0.20526090536805056,575.1400133280745
swansea-north,82C21AN->82C6N,-1.1767478573177395,13.088237299285817,-24.710501076720327,19.031516447161355,45.587075856827305,0.20454571057582735,575.298232363326
