mrid,name,n_windings,container,end1_node,end1_name,end1_kv,end1_r,end1_x,end1_rated_s,end2_node,end2_name,end2_kv,end2_r,end2_x,end2_rated_s,end3_node,end3_name,end3_kv,end3_r,end3_x,end3_rated_s
1025e56b-ba72-4304-9ac5-82a153303410,33/11kV 2WT JERM3_#1H0-JERM5_1T0,2,9a94b228-f167-4e8b-9554-3040e79bfa69,dc1f5b29-060c-4cc9-b077-6cccefa6a636,JERM3_#1H0,33.0,0.5396,12.203,100.0,4e5d5841-e3fb-4398-9da9-e48f099f0e27,JERM5_1T0,11.0,0.0,0.0,100.0,,,,,,
6c3a6a5f-fa7c-4df2-bb9f-26deb15c4e6f,33/11kV 2WT JERM3_#2H0-JERM5_2T0,2,9a94b228-f167-4e8b-9554-3040e79bfa69,dcf0eb94-ae90-4542-8b36-6197b96e4162,JERM3_#2H0,33.0,0.551034,12.2388,100.0,f04b09e0-8193-4526-bb76-2f5344a50f93,JERM5_2T0,11.0,0.0,0.0,100.0,,,,,,
1c64d1cd-d1b9-4696-9a48-326504262f74,33/11kV 2WT KIDW3_#1H0-KIDW5_1T0,2,a13f4d4d-1950-430c-8c19-ef2f8d4fdbf0,df12357e-e1f3-4f77-a5db-b98b7b5db79d,KIDW3_#1H0,33.0,0.69598,8.23284,100.0,a05bad87-86a8-4b32-a746-fa43da87c568,KIDW5_1T0,11.0,0.0,0.0,100.0,,,,,,
7d8fcd88-22f1-4133-89d8-374ad8c77a55,33/11kV 2WT KIDW3_#2H0-KIDW5_2T0,2,a13f4d4d-1950-430c-8c19-ef2f8d4fdbf0,bf49fd79-23da-4ead-a5d0-d782642fd67a,KIDW3_#2H0,33.0,1.46688,15.4028,100.0,c9778c60-d31e-4ebc-befd-cc32a7e411b9,KIDW5_2T0,11.0,0.0,0.0,100.0,,,,,,
bb7ff7fa-4cca-455d-9d35-721d2d86666f,132/33kV 2WT LAMP1_#110-LAMP3_GT1,2,87a6c8a5-d987-47b7-a01e-feb1b5eb7dba,c53bd701-ca18-4002-9087-4604d82ff644,LAMP1_#110,132.0,1.86263,42.3212,100.0,eb3c195d-e484-4ea0-af3e-2d3a605300f8,LAMP3_GT1,33.0,0.0,0.0,100.0,,,,,,
1c8524d3-c7ec-4c85-a02b-086c3cee43c7,33/11kV 2WT LAMP3_#1H0-LAMP5_1T0,2,87a6c8a5-d987-47b7-a01e-feb1b5eb7dba,8bc34145-d005-48e4-a373-afc0e5cc76fb,LAMP3_#1H0,33.0,0.923472,11.8777,100.0,bf1aeff4-fc50-4cb5-b4ab-9e798d58a540,LAMP5_1T0,11.0,0.0,0.0,100.0,,,,,,
efaf3fdc-7461-4390-bc94-d1c0bdc27a2a,33/11kV 2WT LAMP3_#2H0-LAMP5_2T0,2,87a6c8a5-d987-47b7-a01e-feb1b5eb7dba,cb58b91b-ca0e-46b8-9eb9-698165f039a8,LAMP3_#2H0,33.0,0.922383,11.8483,100.0,a2d7c557-7667-440e-b9e0-1977362524b5,LAMP5_2T0,11.0,0.0,0.0,100.0,,,,,,
2bd84304-e103-4e66-8ddb-3159153d5ad4,33/11kV 2WT LDEI3_#1H0-LDEI5_1T0,2,9ce65930-661c-4375-a0f6-3bd0ebec4702,ad9acb43-a48e-4ad3-94f9-cd483d4c913e,LDEI3_#1H0,33.0,0.492228,8.53776,100.0,c2dba42a-b5c6-49df-b509-0f655e40e774,LDEI5_1T0,11.0,0.0,0.0,100.0,,,,,,
e2a7366d-63c3-4da2-b1f8-09030f5c70aa,33/11kV 2WT LDEI3_#2H0-LDEI5_2T0,2,9ce65930-661c-4375-a0f6-3bd0ebec4702,3b66d941-6d8f-4a6b-a387-a2979dda7de5,LDEI3_#2H0,33.0,0.512919,8.60963,100.0,b32aeec0-f0c4-4f5d-b793-2c32a9d93698,LDEI5_2T0,11.0,0.0,0.0,100.0,,,,,,
84c40246-cee1-4432-b2a8-06a182005a6b,33/11kV 2WT LDOV3_#1H0-LDOV5_1T0,2,a5f88ecf-5baf-448e-8723-b9d8026b0508,7d9454bc-3b2c-46e4-992a-f9924f27ed56,LDOV3_#1H0,33.0,1.23994,15.5626,100.0,b47c21b5-fa5c-4385-9d5d-8ae87f6db012,LDOV5_1T0,11.0,0.0,0.0,100.0,,,,,,
